city,district,neighborhood,room,living_room,area,age,floor,price
mugla,bodrum,turgutreis,2,1,90,5,1,25000
mugla,bodrum,yalikavak,3,1,100,5,0,37500
mugla,bodrum,kumbahce,1,1,100,10,0,29750
mugla,bodrum,carsi,3,1,140,13,1,25000
mugla,fethiye,patlangic,2,1,115,25,0,15000
mugla,mentese,bayir,2,1,95,1,5,13000
mugla,milas,oren,2,1,100,10,1,15000
mugla,fethiye,ciftlik,2,1,120,25,2,20000
mugla,bodrum,gundogan,2,1,80,17,0,50000
mugla,bodrum,gundogan,2,1,100,1,3,40000
mugla,koycegiz,beyobasi,3,1,125,15,2,20000
mugla,mentese,karamehmet,1,1,65,5,0,9000
mugla,ortaca,terzialiler,1,1,60,10,2,12000
mugla,fethiye,karagedik,2,1,85,10,0,25000
mugla,seydikemer,cumhuriyet,3,1,105,10,3,10000
mugla,ula,akyaka,1,1,70,4,1,15000
mugla,mentese,bayir,3,1,150,5,5,20000
mugla,koycegiz,beyobasi,4,1,145,15,2,12000
mugla,bodrum,eskicesme,1,1,50,0,0,28000
mugla,bodrum,akcaalan,2,1,90,20,0,15000
mugla,dalaman,sogutluyurt,2,1,120,3,1,14000
mugla,bodrum,eskicesme,3,1,120,0,5,40000
mugla,milas,oren,2,1,62,0,0,30000
mugla,ortaca,karaburun,1,1,60,2,3,15000
mugla,milas,gulluk,3,1,110,5,0,25000
mugla,milas,bogazici,2,1,120,15,2,45000
mugla,milas,bogazici,2,1,120,15,2,45000
mugla,koycegiz,dogusbelen,3,1,180,10,5,12000
mugla,milas,bogazici,4,1,210,11,0,49000
mugla,bodrum,yakakoy,2,1,86,0,5,25000
mugla,milas,bogazici,3,1,95,8,2,30000
mugla,dalaman,merkez,1,1,60,3,0,13250
mugla,marmaris,turgut,2,1,120,5,2,30000
mugla,dalaman,ege,3,1,150,10,2,20000
mugla,mentese,dugerek,3,1,140,10,2,21000
mugla,ortaca,cayli,3,1,140,20,2,50000
mugla,fethiye,tuzla,1,1,80,10,3,15000
mugla,bodrum,eskicesme,2,1,55,15,5,50000
mugla,datca,kizlan,2,1,150,2,2,22500
mugla,bodrum,koyunbaba,3,1,120,25,2,45000
mugla,fethiye,foca,4,1,200,10,2,45000
mugla,bodrum,muskebi,3,1,180,10,5,42000
mugla,bodrum,bitez,2,1,95,15,5,30000
mugla,bodrum,karabag,2,1,110,7,0,28000
mugla,dalaman,karacali,2,1,80,3,1,14750
mugla,datca,emecik,3,1,120,10,0,23000
mugla,dalaman,karacali,2,1,90,2,2,18000
mugla,bodrum,turgutreis,2,1,90,5,2,50000
mugla,bodrum,yalikavak,2,1,75,16,0,25000
mugla,bodrum,torba,1,1,55,11,0,35000
mugla,fethiye,tuzla,1,1,70,10,5,15000
mugla,bodrum,umurca,3,1,110,5,2,45000
mugla,milas,gulluk,2,1,130,5,1,35000
mugla,dalaman,altintas,1,1,60,0,1,11000
mugla,mentese,bayir,2,1,98,0,1,12500
mugla,bodrum,gundogan,3,1,120,14,0,55000
mugla,dalaman,ege,3,1,160,0,2,35000
mugla,mentese,emirbeyazit,1,1,65,15,5,17000
mugla,mentese,emirbeyazit,1,1,50,0,1,12000
mugla,datca,iskele,1,1,55,10,1,14000
mugla,bodrum,derekoy,2,1,100,0,3,20000
mugla,bodrum,gumbet,3,1,100,15,2,33000
mugla,bodrum,dirmil,3,1,140,10,2,50000
mugla,ula,alparslan,1,1,50,4,5,8000
mugla,fethiye,akarca,2,1,80,18,1,15000
mugla,bodrum,tepecik,2,1,85,15,1,25000
mugla,bodrum,karabag,2,1,75,4,2,22500
mugla,datca,emecik,1,1,55,20,1,15000
mugla,ortaca,ataturk,3,1,120,0,2,15000
mugla,mentese,kotekli,2,1,60,10,5,12000
mugla,fethiye,karaculha,1,1,56,1,2,9000
mugla,ortaca,cayli,2,1,85,0,2,12000
mugla,bodrum,gumbet,3,1,110,25,2,30000
mugla,milas,cumhuriyet,2,1,125,10,1,15000
mugla,koycegiz,toparlar,3,1,125,10,2,20000
mugla,bodrum,islamhaneleri,3,1,110,10,3,20000
mugla,fethiye,camkoy,3,1,140,1,2,17000
mugla,bodrum,golkoy,2,1,135,11,2,30000
mugla,fethiye,foca,1,1,60,15,3,12000
mugla,fethiye,babatasi,2,1,105,11,0,15000
mugla,mentese,yesilyurt,2,1,120,20,2,10000
mugla,fethiye,patlangic,2,1,120,4,2,20000
mugla,bodrum,gundogan,3,1,130,20,2,33000
mugla,dalaman,merkez,2,1,150,0,1,13000
mugla,bodrum,geris,2,1,95,10,5,45000
mugla,bodrum,eskicesme,2,1,70,2,1,50000
mugla,koycegiz,beyobasi,1,1,65,10,2,6000
mugla,mentese,bayir,2,1,95,3,5,13000
mugla,ortaca,bahcelievler,3,1,165,10,0,12000
mugla,bodrum,gundogan,2,1,110,3,2,30000
mugla,ortaca,akinci,4,1,200,1,0,50000
mugla,ortaca,guzelyurt,2,1,110,10,5,20000
mugla,fethiye,karaculha,3,1,170,11,2,14000
mugla,bodrum,karabag,3,1,140,11,2,50000
mugla,bodrum,kumbahce,1,1,70,16,0,29000
mugla,fethiye,camkoy,2,1,100,0,2,20000
mugla,fethiye,cami,3,1,140,16,0,15000
mugla,fethiye,kesikkapi,2,1,130,30,3,25000
mugla,koycegiz,toparlar,3,1,110,8,1,20000
mugla,milas,becin,3,1,125,15,4,15000
mugla,datca,resadiye,2,1,85,1,1,22000
mugla,dalaman,merkez,1,1,70,0,2,8500
mugla,bodrum,turgutreis,2,1,80,15,0,25000
mugla,bodrum,torba,3,1,170,15,2,50000
mugla,bodrum,gumbet,2,1,90,25,2,30000
mugla,koycegiz,pinar,3,1,110,15,2,8000
mugla,ortaca,cayli,4,1,220,0,0,50000
mugla,fethiye,pazaryeri,2,1,90,11,5,15000
mugla,dalaman,hurriyet,1,1,60,1,2,10000
mugla,bodrum,mumcular,2,1,75,2,3,12500
mugla,bodrum,gumbet,2,1,100,9,5,30000
mugla,bodrum,gumbet,2,1,90,10,3,30000
mugla,marmaris,armutalan,2,1,120,16,0,30000
mugla,fethiye,menteseoglu,2,1,85,2,5,13000
mugla,bodrum,cumhuriyet,2,1,120,20,2,35000
mugla,bodrum,kumbahce,1,1,75,20,2,60000
mugla,dalaman,merkez,2,1,90,0,2,15000
mugla,marmaris,tepe,2,1,100,4,2,30000
mugla,marmaris,sogut,2,1,90,5,0,20000
mugla,fethiye,tasyaka,1,1,68,15,3,12000
mugla,koycegiz,yeni,2,1,110,15,3,20000
mugla,ortaca,beskopru,1,1,65,2,1,14000
mugla,dalaman,hurriyet,2,1,110,2,2,14000
mugla,dalaman,hurriyet,3,1,170,0,3,18500
mugla,koycegiz,toparlar,1,1,78,0,2,12000
mugla,marmaris,icmeler,2,1,90,30,2,25000
mugla,marmaris,turgut,1,1,55,2,0,14000
mugla,koycegiz,pinar,2,1,90,15,2,7000
mugla,marmaris,armutalan,2,1,110,11,0,27000
mugla,bodrum,karabag,2,1,62,11,3,22000
mugla,mentese,bayir,2,1,90,5,2,14000
mugla,ortaca,guzelyurt,2,1,121,2,2,19000
mugla,fethiye,oludeniz,3,1,120,5,1,24000
mugla,milas,ismet_pasa,3,1,130,8,3,18000
mugla,dalaman,ege,2,1,120,26,0,20000
mugla,bodrum,bitez,2,1,100,15,0,30000
mugla,mentese,orhaniye,3,1,130,26,3,20000
mugla,koycegiz,zeytinalani,2,1,100,5,2,6500
mugla,bodrum,akcaalan,3,1,140,15,0,25000
mugla,bodrum,mumcular,2,1,80,3,0,16000
mugla,bodrum,turgutreis,2,1,80,10,2,35000
mugla,ortaca,cayli,3,1,150,0,3,13000
mugla,bodrum,eskicesme,1,1,55,3,3,34000
mugla,ula,sirinkoy,2,1,100,8,2,20000
mugla,koycegiz,yeni,2,1,105,0,0,15000
mugla,fethiye,pazaryeri,2,1,90,3,5,12000
mugla,koycegiz,yangi,2,1,108,1,2,15000
mugla,milas,oren,3,1,100,10,2,21000
mugla,fethiye,gocek,3,1,180,10,2,35000
mugla,fethiye,oludeniz,2,1,105,14,5,30000
mugla,mentese,emirbeyazit,2,1,103,3,3,24000
mugla,fethiye,oludeniz,1,1,90,4,2,20000
mugla,bodrum,turgutreis,2,1,120,20,2,35000
mugla,mentese,bayir,4,1,228,1,2,37500
mugla,fethiye,pazaryeri,1,1,50,3,2,12000
mugla,milas,gunes,3,1,135,20,3,12000
mugla,milas,turkevleri,2,1,75,16,1,35000
mugla,mentese,karamehmet,3,1,130,10,5,26000
mugla,milas,gumusluk,4,1,190,16,5,14500
mugla,fethiye,tasyaka,2,1,75,0,0,17500
mugla,fethiye,ciftlik,2,1,145,20,2,28500
mugla,mentese,dugerek,1,1,55,1,0,7500
mugla,ortaca,karaburun,1,1,68,0,2,12500
mugla,koycegiz,toparlar,3,1,151,11,3,12000
mugla,koycegiz,gelisim,3,1,130,1,3,20000
mugla,ula,gokce,3,1,125,15,2,26000
mugla,marmaris,tepe,2,1,90,20,3,25000
mugla,fethiye,ciftlik,3,1,170,4,0,43000
mugla,koycegiz,gulpinar,4,1,200,20,2,20000
mugla,mentese,karamehmet,2,1,110,8,5,15000
mugla,dalaman,karacali,3,1,125,2,2,16000
mugla,bodrum,carsi,2,1,90,9,2,35000
mugla,bodrum,turkbuku,2,1,110,16,2,25000
mugla,fethiye,ciftlik,2,1,120,21,2,60000
mugla,ula,akyaka,2,1,90,10,2,20000
mugla,koycegiz,beyobasi,3,1,150,0,0,35000
mugla,mentese,emirbeyazit,3,1,120,13,0,28000
mugla,bodrum,dirmil,2,1,115,10,2,25500
mugla,bodrum,bitez,3,1,130,4,0,45000
mugla,koycegiz,yangi,2,1,75,0,2,15000
mugla,marmaris,icmeler,2,1,90,15,0,17000
mugla,dalaman,serefler,3,1,110,5,2,15000
mugla,bodrum,peksimet,2,1,110,5,2,45000
mugla,datca,datca,2,1,140,7,2,40000
mugla,bodrum,karabag,3,1,140,16,0,30000
mugla,dalaman,karacali,3,1,140,21,3,13500
mugla,dalaman,merkez,2,1,150,12,2,11000
mugla,fethiye,kayakoy,2,1,120,3,2,59500
mugla,milas,bogazici,4,1,130,15,2,25000
mugla,bodrum,yahsi,3,1,135,7,2,60000
mugla,milas,emek,3,1,65,0,3,15000
mugla,bodrum,farilya,3,1,130,4,0,28000
mugla,bodrum,koyunbaba,2,1,90,26,0,50000
mugla,ortaca,eksiliyurt,2,1,90,5,2,12000
mugla,bodrum,eskicesme,1,1,65,4,5,24000
mugla,ortaca,ataturk,2,1,90,3,0,13000
mugla,fethiye,tasyaka,2,1,70,4,3,18000
mugla,mentese,bayir,2,1,85,0,3,15000
mugla,bodrum,eskicesme,2,1,150,25,2,35000
mugla,ortaca,beskopru,2,1,95,15,1,12000
mugla,fethiye,foca,4,1,160,0,0,35000
mugla,bodrum,turgutreis,2,1,110,8,5,30000
mugla,dalaman,karacali,2,1,140,10,3,10000
mugla,bodrum,bitez,2,1,70,25,0,40000
mugla,ula,akyaka,3,1,110,10,2,28000
mugla,mentese,muslihittin,3,1,160,15,3,25000
mugla,bodrum,yalikavak,2,1,100,12,0,50000
mugla,bodrum,karabag,2,1,95,15,0,25000
mugla,ula,akyaka,3,1,130,15,2,25000
mugla,mentese,ortakoy,3,1,135,20,2,17000
mugla,mentese,kotekli,2,1,65,11,5,15000
mugla,dalaman,sogutluyurt,2,1,70,5,3,12000
mugla,ortaca,eksiliyurt,2,1,140,0,1,15000
mugla,ortaca,bahcelievler,3,1,180,15,1,20000
mugla,fethiye,tasyaka,2,1,85,2,3,16000
mugla,bodrum,yalikavak,2,1,110,3,2,50000
mugla,bodrum,torba,2,1,120,2,2,40000
mugla,bodrum,karaova,2,1,80,0,0,15000
mugla,milas,oren,3,1,115,1,2,27000
mugla,milas,turkevleri,2,1,90,0,1,25000
mugla,milas,emek,3,1,125,6,1,15000
mugla,bodrum,akcaalan,2,1,75,5,2,25000
mugla,bodrum,gumusluk,3,1,150,18,2,45000
mugla,ortaca,beskopru,3,1,130,20,1,15000
mugla,bodrum,umurca,2,1,125,25,1,35000
mugla,fethiye,kargi,3,1,170,4,2,43000
mugla,bodrum,bahcelievler,3,1,160,2,2,45000
mugla,bodrum,kumbahce,2,1,70,20,2,30000
mugla,marmaris,orhaniye,2,1,90,16,1,20000
mugla,bodrum,eskicesme,1,1,60,3,2,25000
mugla,dalaman,kapukargin,3,1,140,15,0,12000
mugla,dalaman,altintas,1,1,60,1,3,11500
mugla,bodrum,dirmil,3,1,150,15,-2,45000
mugla,fethiye,akarca,3,1,220,11,2,32500
mugla,mentese,karamehmet,3,1,180,13,4,22000
mugla,bodrum,bitez,2,1,90,2,5,30000
mugla,dalaman,merkez,1,1,72,0,3,10500
mugla,koycegiz,gelisim,2,1,65,0,0,18000
mugla,bodrum,peksimet,3,1,160,18,2,45000
mugla,fethiye,tasyaka,3,1,135,18,5,20000
mugla,ortaca,cayli,2,1,95,11,5,14000
mugla,mentese,kotekli,1,1,25,6,5,6500
mugla,bodrum,torba,2,1,60,25,1,6000
mugla,mentese,orhaniye,2,1,125,1,3,25000
mugla,bodrum,eskicesme,1,1,70,2,0,32000
mugla,bodrum,eskicesme,2,1,140,5,0,45000
mugla,bodrum,peksimet,2,1,80,16,0,25000
mugla,marmaris,turgut,2,1,95,10,2,40000
mugla,fethiye,cami,1,1,67,7,3,15000
mugla,ortaca,cumhuriyet,3,1,155,0,5,17500
mugla,bodrum,turgutreis,2,1,80,15,0,20000
mugla,milas,emek,3,1,125,20,3,15000
mugla,mentese,bayir,2,1,70,0,1,12000
mugla,bodrum,gumbet,2,1,90,0,2,40000
mugla,bodrum,cirkan,2,1,130,20,0,27500
mugla,datca,iskele,2,1,90,7,1,19500
mugla,dalaman,hurriyet,2,1,130,15,2,15000
mugla,mentese,ortakoy,1,1,75,0,1,18000
mugla,marmaris,orhaniye,2,1,80,6,2,20000
mugla,ortaca,eskikoy,2,1,105,6,1,12000
mugla,fethiye,tuzla,2,1,110,15,3,20000
mugla,ortaca,dalakli,3,1,110,15,2,15000
mugla,milas,gulluk,2,1,150,5,2,20000
mugla,bodrum,bahcelievler,2,1,85,20,3,25000
mugla,bodrum,pinarlibelen,1,1,30,1,2,17000
mugla,dalaman,merkez,3,1,150,1,4,15000
mugla,bodrum,bitez,2,1,90,11,5,35000
mugla,bodrum,akcaalan,2,1,80,5,1,20000
mugla,bodrum,islamhaneleri,3,1,85,25,2,17500
mugla,dalaman,kapukargin,4,1,140,2,2,5500
mugla,koycegiz,toparlar,3,1,120,20,5,12500
mugla,mentese,karsiyaka,3,1,135,25,1,15000
mugla,ortaca,bahcelievler,2,1,85,0,2,14000
mugla,dalaman,kapukargin,2,1,130,5,2,11500
mugla,milas,haci_ilyas,3,1,145,5,1,16000
mugla,bodrum,akyarlar,2,1,140,25,0,50000
mugla,dalaman,karacali,2,1,100,0,1,13000
mugla,dalaman,merkez,3,1,125,10,3,12500
mugla,marmaris,tepe,2,1,80,26,2,30000
mugla,ortaca,sarigerme,3,1,220,21,0,35000
mugla,bodrum,karaova,2,1,87,12,5,15000
mugla,dalaman,altintas,2,1,95,0,3,10000
mugla,koycegiz,beyobasi,2,1,135,16,0,20000
mugla,koycegiz,gelisim,2,1,120,11,5,15000
mugla,ula,koprubasi,3,1,150,4,0,21500
mugla,ula,koprubasi,1,1,60,4,2,10000
mugla,mentese,karamehmet,2,1,75,5,2,15000
mugla,bodrum,guvercinlik,3,1,170,29,0,28500
mugla,ula,portakallik,3,1,100,15,2,12000
mugla,dalaman,altintas,1,1,60,0,2,9000
mugla,bodrum,eskicesme,1,1,50,7,3,25000
mugla,milas,emek,2,1,120,16,1,13000
mugla,ortaca,dikmekavak,1,1,70,3,2,10500
mugla,ortaca,karaburun,2,1,90,0,5,13500
mugla,dalaman,merkez,1,1,75,2,1,13000
mugla,bodrum,bahcelievler,3,1,120,4,2,50000
mugla,bodrum,umurca,2,1,80,13,2,55000
mugla,koycegiz,yesilkoy,2,1,110,15,1,10000
mugla,milas,ismet_pasa,3,1,125,10,2,15000
mugla,milas,gulluk,3,1,180,7,5,45000
mugla,bodrum,karabag,2,1,80,11,1,25000
mugla,bodrum,eskicesme,1,1,75,5,0,40000
mugla,milas,cumhuriyet,3,1,147,18,5,15000
mugla,ortaca,ataturk,3,1,135,5,3,19000
mugla,bodrum,bitez,2,1,100,18,0,35000
mugla,mentese,orhaniye,3,1,149,2,2,25000
mugla,fethiye,pazaryeri,2,1,95,3,2,12000
mugla,bodrum,islamhaneleri,2,1,90,2,2,30000
mugla,ortaca,karaburun,2,1,85,0,1,13000
mugla,fethiye,pazaryeri,3,1,160,25,3,15000
mugla,marmaris,sariana,2,1,95,5,3,30000
mugla,milas,oren,3,1,110,30,2,17000
mugla,seydikemer,ugurlu,2,1,90,1,2,3250
mugla,milas,gulluk,2,1,80,25,3,20000
mugla,koycegiz,ulucami,4,1,200,10,0,27500
mugla,koycegiz,gulpinar,3,1,155,15,-1,16000
mugla,ortaca,terzialiler,2,1,100,4,3,15000
mugla,mentese,kotekli,2,1,70,9,2,12000
mugla,fethiye,foca,2,1,100,4,2,50000
mugla,bodrum,cirkan,2,1,85,11,0,25000
mugla,marmaris,armutalan,2,1,110,11,3,30000
mugla,mentese,emirbeyazit,2,1,110,21,3,15000
mugla,ortaca,beskopru,3,1,145,11,2,15000
mugla,fethiye,patlangic,2,1,80,0,1,13000
mugla,marmaris,turunc,3,1,160,1,-2,20000
mugla,bodrum,bitez,2,1,70,1,0,45000
mugla,fethiye,kesikkapi,2,1,85,4,2,17000
mugla,milas,ismet_pasa,1,1,75,5,0,18000
mugla,bodrum,kumbahce,2,1,85,2,2,50000
mugla,ortaca,dalyan,2,1,110,16,5,18500
mugla,ortaca,cumhuriyet,1,1,30,0,0,12500
mugla,milas,gulluk,3,1,150,15,2,20000
mugla,bodrum,dirmil,3,1,150,5,2,55000
mugla,bodrum,umurca,2,1,85,20,0,35000
mugla,fethiye,yeni,2,1,110,5,0,20000
mugla,milas,cumhuriyet,3,1,135,18,5,18000
mugla,bodrum,kumbahce,1,1,110,15,0,40000
mugla,mentese,muslihittin,3,1,145,5,3,16000
mugla,bodrum,konacik,2,1,70,0,3,35000
mugla,bodrum,yokusbasi,2,1,95,11,2,25500
mugla,fethiye,tuzla,4,1,140,20,5,18000
mugla,bodrum,kumbahce,3,1,145,21,0,40000
mugla,milas,ismet_pasa,3,1,125,25,-2,20000
mugla,bodrum,mumcular,3,1,110,5,0,16000
mugla,fethiye,karaculha,2,1,110,30,2,10000
mugla,milas,oren,2,1,105,15,2,17500
mugla,marmaris,icmeler,1,1,50,20,1,17000
mugla,milas,gulluk,1,1,60,12,3,20000
mugla,bodrum,eskicesme,3,1,140,5,0,55000
mugla,mentese,gulagzi,3,1,160,2,2,35000
mugla,marmaris,orhaniye,2,1,85,25,2,20000
mugla,dalaman,hurriyet,1,1,60,2,1,11000
mugla,fethiye,yeni,2,1,95,6,5,13000
mugla,bodrum,yahsi,1,1,50,10,0,60000
mugla,fethiye,yaniklar,1,1,65,12,5,15000
mugla,ortaca,ataturk,2,1,110,5,0,15000
mugla,ortaca,cumhuriyet,2,1,115,0,5,13500
mugla,ula,akyaka,2,1,70,10,0,15000
mugla,dalaman,karacali,3,1,160,5,3,16000
mugla,mentese,karamehmet,3,1,150,15,3,23500
mugla,mentese,yenikoy,3,1,80,5,2,14000
mugla,marmaris,armutalan,2,1,120,26,2,35000
mugla,fethiye,foca,3,1,140,11,2,30000
mugla,bodrum,carsi,2,1,85,15,2,25000
mugla,marmaris,tepe,3,1,105,20,1,25000
mugla,bodrum,gumbet,1,1,70,4,2,35000
mugla,yatagan,yeni,3,1,120,20,2,10000
mugla,bodrum,muskebi,1,1,33,0,0,15000
mugla,bodrum,gumusluk,2,1,80,0,0,20000
mugla,mentese,kotekli,2,1,55,10,1,9000
mugla,marmaris,siteler,2,1,85,20,2,25000
mugla,ula,esentepe,2,1,100,5,-2,15000
mugla,fethiye,tasyaka,2,1,115,4,2,15000
mugla,ula,akyaka,1,1,65,1,0,15000
mugla,milas,kazikli,2,1,80,25,0,9000
mugla,milas,gumusluk,1,1,200,30,0,11000
mugla,ortaca,guzelyurt,3,1,145,5,2,14500
mugla,fethiye,akarca,4,1,165,3,2,30000
mugla,mentese,bayir,3,1,155,1,5,18000
mugla,koycegiz,yeni,3,1,110,0,2,20000
mugla,fethiye,yeni,2,1,90,20,1,11500
mugla,bodrum,kumbahce,3,1,140,26,0,50000
mugla,fethiye,tasyaka,2,1,120,11,2,20000
mugla,bodrum,turkkuyusu,2,1,100,5,0,35000
mugla,milas,oren,3,1,125,11,2,20000
mugla,bodrum,bitez,1,1,30,9,0,10000
mugla,bodrum,gumbet,2,1,80,3,2,50000
mugla,milas,emek,1,1,55,0,1,10000
mugla,dalaman,merkez,2,1,80,7,5,11000
mugla,marmaris,orhaniye,2,1,90,1,2,3000
mugla,ortaca,fevziye,1,1,70,10,2,10000
mugla,marmaris,turunc,2,1,95,25,5,18000
mugla,mentese,kotekli,2,1,65,1,0,8000
mugla,bodrum,konacik,2,1,90,12,0,40000
mugla,dalaman,atakent,1,1,70,0,0,12000
mugla,datca,iskele,2,1,90,5,1,20000
mugla,bodrum,yenikoy,2,1,90,26,2,28000
mugla,fethiye,camkoy,2,1,100,3,0,15000
mugla,bodrum,gundogan,3,1,180,14,2,60000
mugla,bodrum,gumbet,2,1,80,1,0,60000
