"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","he-lazy-image src 2"
"https://www.hepsiemlak.com/izmir-tire-4-eylul-kiralik/daire/135073-141","12","13.250","25-03-2024","Kiralık Daire","3 +
                        1","140 m²","15
                      Yaşında","3. Kat","Kiralık Cadde Üzeri Arakat Daire","Tire, 4 Eylül Mahallesi","","",""
"https://www.hepsiemlak.com/izmir-konak-alsancak-kiralik/daire/37033-3548","14","19.000","27-03-2024","Kiralık Daire","3 +
                        1","110 m²","25
                      Yaşında","3. Kat","Fırsat Alsancak Pazar Sokağında Tadilatlı 3+1 Keyifli Daire","Konak, Alsancak Mahallesi","","",""
"https://www.hepsiemlak.com/izmir-selcuk-14-mayis-kiralik/daire/132456-773","10","5.500","08-04-2024","Kiralık Daire","1 +
                        15","30 m²","30
                      Yaşında","1. Kat","İzmir Selçuk 14 Mayıs Mahallesinde Kiralık Oda","Selçuk, 14 Mayıs Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/armina-group-gayrimenkul-danismanligi-132456","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/5/4/2/3/1/aefe9f3b-6c32-43fe-a898-cc52fa9ed993.jpg",""
"https://www.hepsiemlak.com/izmir-karabaglar-peker-kiralik/daire/126733-191","21","11.000","06-04-2024","Kiralık Daire","2 +
                        1","110 m²","20
                      Yaşında","Ara Kat","Atıcı Group’dan 100 M2 Kiralık Daire Karabağlar","Karabağlar, Peker Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/atici-group-gayrimenkul-126733","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/7/2/9/6/4/2/4/1712419845-0037088-42469274.jpeg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/3/3/7/6/2/1/a6ba2377-b410-4d1f-8104-87d1e1fa21a6.jpg"
"https://www.hepsiemlak.com/izmir-torbali-yedi-eylul-kiralik/daire/137063-233","9","10.000","28-03-2024","Kiralık Daire","1 +
                        1","60 m²","Sıfır Bina","2. Kat","Loca Yapıda 1+1 Kiralık Daire","Torbalı, Yedi Eylül Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/6/7/5/2/4/2/4/1711619154881-42425766.jpg",""
"https://www.hepsiemlak.com/izmir-balcova-koruturk-kiralik/daire/93841-877","34","29.000","01-03-2024","Kiralık Daire","2 +
                        1","90 m²","35
                      Yaşında","Ara Kat","Ekonomi Üniv. Yakını  Eşyalı Kiralık Emlaksal'dan 2+1 Daire","Balçova, Korutürk Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/emlaksal-gayrimenkul-93841","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/1/7/0/9/2/2/4/3f446895-e655-402e-b64f-76ba03814aa1.jpg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/1/4/8/3/9/0/c84d77b0-8324-42f0-8e3d-f88ef9d84050.jpg"
"https://www.hepsiemlak.com/izmir-menderes-gumuldur-fevzi-cakmak-kiralik/daire/103751-860","16","15.000","05-04-2024","Kiralık Daire","2 +
                        1","80 m²","5
                      Yaşında","1. Kat","Can Emlak Tan Ürkmez Mevkii Yaz-Kış Kiralık Daire","Menderes, Gümüldür Fevzi Çakmak Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/8/2/1/7/3/2/4/29336f92-588f-47f5-ac85-5180686b50f3.jpeg",""
"https://www.hepsiemlak.com/izmir-torbali-muratbey-kiralik/daire/119428-87","27","13.000","08-03-2024","Kiralık Daire","2 +
                        1","85 m²","Sıfır Bina","En Üst Kat","Günay Emlak’tan Kiralık 2+1 80 M2 Sıfır Doğalgazlı Asansörlü Daire","Torbalı, Muratbey Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/6/9/7/9/0/2/4/1706084707-034607-42097966.jpeg",""
"https://www.hepsiemlak.com/izmir-narlidere-ilica-kiralik/daire/115022-727","28","30.000","14-04-2024","Kiralık Daire","3 +
                        1","145 m²","25
                      Yaşında","7. Kat","Çtn'den Narlıdere Ilıca'da Jeotermalli, Temiz Ve Bakımlı, Kiralık 3+1 Daire","Narlıdere, Ilıca Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/ctn-gayrimenkul-115022","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/8/4/4/6/4/2/4/3b80eb88-8e89-4d46-a84d-dd99ea74e393.jpg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/2/2/0/5/1/1/b634fa2f-8ed3-4e90-86ab-231c0a58f807.jpg"
"https://www.hepsiemlak.com/izmir-kemalpasa-ulucak-mustafa-kemal-ataturk-kiralik/daire/65025-314","20","25.000","06-04-2024","Kiralık Daire","3 +
                        1","180 m²","Sıfır Bina","1. Kat","Geniş Kullanışlı Lüks Daire","Kemalpaşa, Ulucak Mustafa Kemal Atatürk Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/2/5/5/6/4/2/4/7f536373-4f6f-4669-a06c-1de8f02cae31.jpeg",""
"https://www.hepsiemlak.com/izmir-konak-goztepe-kiralik/daire/62166-1185","33","18.500","15-04-2024","Kiralık Daire","3 +
                        1","120 m²","39
                      Yaşında","2. Kat","Göztepe Metroya 2 Dak.Otoparklı Doğalgazlı 3+1 Bakımlı 2.Arakat","Konak, Göztepe Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/evin-emlak-emre-62166","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/5/3/6/1/9/1/4/02cf9edd-0239-4ad2-aa26-856896168297.jpg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/6/1/2/6/0/a8f0f4fd-b604-4f49-a647-2f37f7983ca4.jpg"
"https://www.hepsiemlak.com/izmir-guzelbahce-mustafa-kemal-pasa-kiralik/villa/107888-1530","29","83.000","04-04-2024","Kiralık Villa","4 +
                        1","270 m²","2
                      Yaşında","Bahçe Katı","Güzelbahçe Yelki'de Kiralık Eşyalı Ve Eşyasız 4+2 Havuzlu Villa","Güzelbahçe, Mustafa Kemal Paşa Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/7/1/6/5/4/2/4/9894a130-0691-4d5c-a9b0-d30710eee621.jpeg",""
"https://www.hepsiemlak.com/izmir-buca-kurucesme-kiralik/daire/133337-244","14","14.000","08-04-2024","Kiralık Daire","2 +
                        1","80 m²","28
                      Yaşında","2. Kat","Tınaztepe Hastane Yanında Eşyalı 2+1 Kiralık Daire.","Buca, Kuruçeşme Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/turker-gayrimenkul-danismanlik-133337","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/6/9/4/7/4/2/4/e06f76c5-0c1e-43b1-b1e4-168e3d4f1122.jpg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/7/3/3/3/3/1/7c2b1f04-5eeb-4530-b0be-de65fc22fe1e.jpg"
