"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","he-lazy-image src"
"https://www.hepsiemlak.com/kutahya-merkez-gaybiefendi-kiralik/daire/137832-310","16","7.500","16-04-2024","Kiralık Daire","1 +
                        1","65 m²","5
                      Yaşında","1. Kat","Kütahya Merkez Gaybiefendi Mah. Full Eşyalı Kiralık 1+1 Daire","Merkez, Gaybiefendi Mahallesi",""
"https://www.hepsiemlak.com/kutahya-merkez-yunusemre-kiralik/daire/137832-323","10","4.500","16-04-2024","Kiralık Daire","1 +
                        2","65 m²","15
                      Yaşında","En Üst Kat","Kütahya Merkez Yunusemre Mah Kiralık Eşyalı 1+1 Daire","Merkez, Yunusemre Mahallesi",""
"https://www.hepsiemlak.com/kutahya-merkez-yunusemre-kiralik/daire/137832-312","9","4.500","16-04-2024","Kiralık Daire","1 +
                        1","65 m²","10
                      Yaşında","Yüksek Giriş","Kütahya Merkez Yunusemre Mah Kiralık Eşyalı 1+1 Daire","Merkez, Yunusemre Mahallesi",""
"https://www.hepsiemlak.com/kutahya-merkez-meydan-kiralik/daire/137832-314","8","10.000","16-04-2024","Kiralık Daire","1 +
                        1","65 m²","5
                      Yaşında","Yüksek Giriş","Kütahya Merkez Meydan Mah. Eşyalı Kiralık 1+1 Daire","Merkez, Meydan Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/1/3/4/5/4/2/4/a74d3910-1891-4f3b-a5a3-a70831916482.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-fuatpasa-kiralik/daire/73389-2781","13","7.500","16-04-2024","Kiralık Daire","1 +
                        1","60 m²","13
                      Yaşında","2. Kat","Hastaneler Yakını Eşyalı Kiralık 1+1 7.500 Tl.","Merkez, Fuatpaşa Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/6/2/6/6/4/2/4/2f4cd98f-6d5c-4584-bb43-0b7a3b95fa55.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-saray-kiralik/daire/119531-619","16","8.000","15-04-2024","Kiralık Daire","3 +
                        1","147 m²","20
                      Yaşında","En Üst Kat","Özen Gayrimenkul 'den 3+1 Kiralık Dubleks Daire","Merkez, Saray Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/0/5/6/9/0/2/4/1706036229858-42096503.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-parmakoren-kiralik/daire/0-42486747","29","19.000","15-04-2024","Kiralık Daire","3 +
                        1","166 m²","2
                      Yaşında","6. Kat","Lütfen İlanı Okuyun:1453 Konutlarında Sıfır Kiralık 3+1,140m2 Güney Batı Cepheli,2 Banyolu Daire","Merkez, Parmakören Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/4/7/6/8/4/2/4/1713106730-632471-42486747.jpeg"
"https://www.hepsiemlak.com/kutahya-merkez-akkent-kiralik/daire/137832-318","16","6.500","15-04-2024","Kiralık Daire","2 +
                        1","85 m²","10
                      Yaşında","Ara Kat","Kütahya Merkez Akkent (toki) Dy Kontları Kiralık Ara Kat 2+1 Daire","Merkez, Akkent Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/7/2/2/6/4/2/4/6df4fc12-e558-4e5c-ad1c-163e61b58f7c.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-75-yil-kiralik/daire/0-42474836","16","18.500","15-04-2024","Kiralık Daire","3 +
                        1","172 m²","15
                      Yaşında","7. Kat","Sahibinden Kiralık 3+1 170 Metrekare Ebeveyn Banyolu","Merkez, 75. Yıl Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/3/8/4/7/4/2/4/1712577338-109407-42474836.jpeg"
"https://www.hepsiemlak.com/kutahya-tavsanli-dagcesme-kiralik/daire/140844-38","23","9.500","15-04-2024","Kiralık Daire","3 +
                        1","135 m²","6
                      Yaşında","1. Kat","*çağlar Emlak*  Tunçbilek Caddesi Hilalkent Sitesi'nde Kiralık 3+1 Daire","Tavşanlı, Dağçeşme Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/9/4/8/6/4/2/4/c5c4ecdd-a69a-41d6-b978-265626a4d396.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-bahcelievler-kiralik/daire/119531-623","11","7.000","15-04-2024","Kiralık Daire","2 +
                        1","95 m²","25
                      Yaşında","En Üst Kat","Özen Gayrimenkul'den Bahçelievler'de 2+1 Kiralık Daire","Merkez, Bahçelievler Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/0/1/3/5/2/2/4/1708683166492-42253102.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-saray-kiralik/daire/113002-449","14","7.500","27-03-2024","Kiralık Daire","1 +
                        1","60 m²","8
                      Yaşında","Ara Kat","Akarsu Emlaktan Ek Bina Üstünde Kiralık Eşyalı Ara Kat 1+1 Daire","Merkez, Saray Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/9/2/2/2/4/2/4/a6646a05-2933-4c45-b4f5-f062d91f49cb.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-alipasa-kiralik/daire/0-42483295","30","10.000","15-04-2024","Kiralık Daire","6 +
                        1","120 m²","25
                      Yaşında","4. Kat","Kiralık Daire","Merkez, Alipaşa Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/9/2/3/8/4/2/4/1713172937819-42483295.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-yildirim-beyazit-kiralik/daire/119531-621","17","12.000","15-04-2024","Kiralık Daire","2 +
                        1","105 m²","30
                      Yaşında","En Üst Kat","Özen Gayrimenkul 'den Belediyeye Yakın 2+1 Eşyalı Kiralık Daire","Merkez, Yıldırım Beyazıt Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/0/7/6/9/0/2/4/1706040401811-42096701.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-fatih-kiralik/daire/0-42362853","12","7.000","17-03-2024","Kiralık Daire","2 +
                        1","115 m²","25
                      Yaşında","En Üst Kat","Kiralık Daire 2+1","Merkez, Fatih Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/5/8/2/6/3/2/4/xUN2ROlYO2qPMZApE93Ax.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-saray-kiralik/daire/137832-321","12","6.000","13-04-2024","Kiralık Daire","2 +
                        1","85 m²","15
                      Yaşında","Ara Kat","Kütahya Merkez Saray Mahallesi Kiralık Ara Kat 2+1 Daire","Merkez, Saray Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/3/3/4/8/4/2/4/9c8c14be-0154-4afe-a7fb-3283f99d2d1b.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-servi-kiralik/daire/0-42386081","6","8.500","20-03-2024","Kiralık Daire","1 +
                        1","60 m²","8
                      Yaşında","4. Kat","Çarşı Merkezi Kiralık 1+1","Merkez, Servi Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/8/0/6/8/3/2/4/1710936849-63245-42386081.jpeg"
"https://www.hepsiemlak.com/kutahya-merkez-fatih-kiralik/daire/0-42445474","20","8.500","02-04-2024","Kiralık Daire","2 +
                        1","120 m²","20
                      Yaşında","2. Kat","Sahibinden Kiralık 2+1 Kombili Daire","Merkez, Fatih Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/7/4/5/4/4/2/4/mraTtgDC41YTKEt14thwN.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-balikli-kiralik/daire/131176-124","11","10.000","06-04-2024","Kiralık Daire","3 +
                        1","150 m²","21
                      Yaşında","4. Kat","Kütahya Menderes Caddesinde Kiralık 3+1 Daire","Merkez, Balıklı Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/1/0/9/6/4/2/4/5a7ef546-4d98-4da3-b45b-fb094a1f5602.jpeg"
"https://www.hepsiemlak.com/kutahya-merkez-mecidiye-kiralik/daire/96870-997","13","10.000","19-03-2024","Kiralık Daire","3 +
                        1","140 m²","11
                      Yaşında","2. Kat","Kolçan Emlak'tan Vazo'ya Yakın Bakımlı Kiralık 3+1 Daire","Merkez, Mecidiye Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/1/1/6/5/9/1/4/201b208d-f766-4a28-883e-cb448037dc28.jpeg"
"https://www.hepsiemlak.com/kutahya-merkez-cumhuriyet-kiralik/daire/119531-628","12","10.000","15-04-2024","Kiralık Daire","2 +
                        1","95 m²","20
                      Yaşında","Ara Kat","Özen Gayrimenkul'den Fatih Mh. 2+1 Kiralık Daire","Merkez, Cumhuriyet Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/9/4/5/5/4/2/4/1712172454337-42455492.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-75-yil-kiralik/daire/129236-236","23","8.000","16-04-2024","Kiralık Daire","3 +
                        1","150 m²","25
                      Yaşında","6. Kat","Kütahya Merkez 75. Yıl Mahallesi Atakentte Ara Kat Kiralık 3+1 Daire","Merkez, 75. Yıl Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/2/8/3/5/8/1/4/af81e723-22be-46d3-9fb0-a2e55705aea7.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-alipasa-kiralik/daire/129236-160","15","18.500","16-04-2024","Kiralık Daire","3 +
                        1","130 m²","4
                      Yaşında","Ara Kat","Kütahya Merkez Atatürk Bulvarı Üzeri Nerdeyse Sıfır Yakıt Ücreti Ara Kat Kiralık 3+1 Lüks Daire","Merkez, Alipaşa Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/2/1/5/1/0/1/4/0b61441d-4894-4303-b8a7-e08d3184060c.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-aydogdu-kiralik/ciftlik-evi/0-42255548","20","8.000","25-03-2024","Kiralık Çiftlik Evi","2 +
                        0","9.000 m²","20
                      Yaşında","","Sahibinden Kiralık Çiftlik 8000 Tl","Merkez, Aydoğdu Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/4/5/5/5/2/2/4/1708705811302-42255548.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-meydan-kiralik/daire/113002-416","13","6.000","03-04-2024","Kiralık Daire","3 +
                        1","150 m²","23
                      Yaşında","En Üst Kat","Akarsu Emlak'tan Meydan Mah. Kiralık 3+1  Daire","Merkez, Meydan Mahallesi",""
"https://www.hepsiemlak.com/kutahya-merkez-yunusemre-kiralik/daire/119531-580","10","6.500","15-04-2024","Kiralık Daire","1 +
                        1","47 m²","10
                      Yaşında","Ara Kat","Özen Gayrimenkul 'den Yunusemre Mh 1+1 Eşyalı Kiralık Daire ( Haziran Teslim)","Merkez, Yunusemre Mahallesi",""
"https://www.hepsiemlak.com/kutahya-merkez-fuatpasa-kiralik/daire/96870-970","19","7.500","19-03-2024","Kiralık Daire","1 +
                        1","50 m²","4
                      Yaşında","2. Kat","Kolçan Emlak'tan Kiralik Lalahüseyinpaşa Da 1+1 Eşyalı Daire","Merkez, Fuatpaşa Mahallesi",""
"https://www.hepsiemlak.com/kutahya-merkez-zafertepe-kiralik/daire/96870-1006","12","15.000","15-04-2024","Kiralık Daire","3 +
                        1","140 m²","Sıfır Bina","1. Kat","Kolçan Emlaktan Zafertepede Ultra Lüks 3+1 Kiralık Daire","Merkez, Zafertepe Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/9/2/4/7/0/2/4/18111b0f-fd5c-4005-b510-344712163d84.jpeg"
"https://www.hepsiemlak.com/kutahya-merkez-gaybiefendi-kiralik/daire/0-42215790","7","6.500","16-02-2024","Kiralık Daire","Stüdyo","21 m²","8
                      Yaşında","Yüksek Giriş","Sahibinden Ekstralı Kiralık Apart","Merkez, Gaybiefendi Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/9/7/5/1/2/2/4/0nzAvvynJ_TVcSMlt-ED7.jpg"
