"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","he-lazy-image src 2"
"https://www.hepsiemlak.com/denizli-merkezefendi-adalet-kiralik/daire/66974-417","13","17.000","15-04-2024","Kiralık Daire","3 +
                        1","170 m²","6
                      Yaşında","1. Kat","Selçukbey Mahallesinde Önü Yeşil Alan Park 3+1 Daire","Merkezefendi, Adalet Mahallesi","","",""
"https://www.hepsiemlak.com/denizli-merkezefendi-degirmenonu-kiralik/daire/94398-5371","7","6.500","08-04-2024","Kiralık Daire","1 +
                        1","55 m²","5
                      Yaşında","2. Kat","+1'den Değirmenönü Mh- Karaman Pazarı Yakını 1+1 55 M2 Eşyalı Kiralık Apart","Merkezefendi, Değirmenönü Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/arti-1-gayrimenkul-94398","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/8/9/3/4/9/0/1c30e048-c87e-4aa4-8855-f77710d5daf1.jpg",""
"https://www.hepsiemlak.com/denizli-merkezefendi-muratdede-kiralik/daire/94398-5470","5","6.500","15-04-2024","Kiralık Daire","1 +
                        1","50 m²","8
                      Yaşında","Yüksek Giriş","+1'den Tekden Hastahanesi Yanı 50 M2 1+1 Eşyalı Kiralık Apart","Merkezefendi, Muratdede Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/arti-1-gayrimenkul-94398","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/8/9/3/4/9/0/1c30e048-c87e-4aa4-8855-f77710d5daf1.jpg",""
"https://www.hepsiemlak.com/denizli-pamukkale-yunusemre-kiralik/daire/66974-414","13","7.000","15-04-2024","Kiralık Daire","1 +
                        1","50 m²","3
                      Yaşında","3. Kat","Pamukkale Üniversitesine Yakın 1+1 Eşyalı Apart","Pamukkale, Yunusemre Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/1/2/5/8/3/2/4/8e04fb26-7a2c-4900-9ea1-d0d02728c13a.jpg",""
"https://www.hepsiemlak.com/denizli-pamukkale-istiklal-kiralik/daire/141140-101","8","6.500","16-04-2024","Kiralık Daire","1 +
                        1","55 m²","4
                      Yaşında","Ara Kat","İstiklal'de Kiralık 1+1 Arakat Balkonlu Apart(depozito Yok)","Pamukkale, İstiklal Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/fdn-group-insaat-141140","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/8/0/3/9/4/2/4/3f06f634-e1e8-4447-a7da-0c4a7bfd2a3a.jpg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/0/4/1/1/4/1/846e7f29-8eda-447a-83bf-e2a7f9787471.jpg"
"https://www.hepsiemlak.com/denizli-pamukkale-topraklik-kiralik/daire/141140-102","10","9.500","16-04-2024","Kiralık Daire","3 +
                        1","140 m²","4
                      Yaşında","Ara Kat","Halk Caddesi’nde Kiralık Geniş 3+1 Daire(depozito Yok)","Pamukkale, Topraklık Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/fdn-group-insaat-141140","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/0/1/3/9/4/2/4/671a448a-4065-4b08-bec3-e4c4b90ae9fe.jpg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/0/4/1/1/4/1/846e7f29-8eda-447a-83bf-e2a7f9787471.jpg"
"https://www.hepsiemlak.com/denizli-pamukkale-istiklal-kiralik/daire/141140-100","6","7.000","16-04-2024","Kiralık Daire","1 +
                        1","55 m²","4
                      Yaşında","Ara Kat","İstiklal'de Kiralık 1+1 Sıfır Eşyalı Ön Cephe Apart","Pamukkale, İstiklal Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/fdn-group-insaat-141140","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/4/0/3/9/4/2/4/7d57dfb5-e75f-4ff2-9d4a-dcf4f7435e0a.jpg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/0/4/1/1/4/1/846e7f29-8eda-447a-83bf-e2a7f9787471.jpg"
"https://www.hepsiemlak.com/denizli-pamukkale-kuspinar-kiralik/daire/129038-357","13","9.000","16-04-2024","Kiralık Daire","2 +
                        1","140 m²","30
                      Yaşında","3. Kat","Lise Caddesi Kiralık Daire","Pamukkale, Kuşpınar Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/neslihan-emlak-yatirim-danismanligi-129038","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/1/6/0/9/4/2/4/1713191022-963201-42490614.jpeg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/8/3/0/9/2/1/5e526d6d-0be4-404b-9f28-56797991b81e.jpg"
"https://www.hepsiemlak.com/denizli-merkezefendi-sirakapilar-kiralik/daire/102793-2449","23","12.000","16-04-2024","Kiralık Daire","3 +
                        1","165 m²","15
                      Yaşında","4. Kat","Fark20'den Sırakapılar'da Kiralık 3+1 Daire","Merkezefendi, Sırakapılar Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/1/0/6/1/4/2/4/21e5c3fa-2125-4663-b588-ae15e94f250b.jpg",""
"https://www.hepsiemlak.com/denizli-pamukkale-topraklik-kiralik/daire/102793-2446","19","10.000","16-04-2024","Kiralık Daire","2 +
                        1","90 m²","6
                      Yaşında","3. Kat","Fark20'den Topraklık'ta Kiralık 2+1 Lux Fırsat Daire","Pamukkale, Topraklık Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/5/9/2/0/4/2/4/2a9cac82-0cbe-453a-8b31-82b97bb45a7d.jpg",""
