"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","he-lazy-image src","img-wrp href","he-lazy-image src 2"
"https://www.hepsiemlak.com/manisa-yunusemre-muradiye-kiralik/daire/22228-9629","40","30.000","16-04-2024","Kiralık Daire","3 +
                        1","140 m²","4
                      Yaşında","Ara Kat","Akdeniz Emlak'tan Kiralık Daire  Yunus Emre Kara Ali Mah  3+1 / 1 140  M2","Yunusemre, Muradiye Mahallesi","","",""
"https://www.hepsiemlak.com/manisa-sehzadeler-2-anafartalar-kiralik/daire/64671-774","23","12.000","16-04-2024","Kiralık Daire","2 +
                        1","95 m²","30
                      Yaşında","3. Kat","Öz Elit Emlak'tan 2. Anafartalar Mah. Kiralık Daire 12.000 Tl.","Şehzadeler, 2. Anafartalar Mahallesi","","",""
"https://www.hepsiemlak.com/manisa-yunusemre-kuyualan-kiralik/daire/95753-922","18","14.000","16-04-2024","Kiralık Daire","2 +
                        1","85 m²","23
                      Yaşında","Yüksek Giriş","Manisa Yunusemre Kuyualan’da 2+1 Ful Eşyalı Kiralık Daire","Yunusemre, Kuyualan Mahallesi","","",""
"https://www.hepsiemlak.com/manisa-sehzadeler-goktasli-kiralik/daire/54138-1162","25","10.000","16-04-2024","Kiralık Daire","1 +
                        1","65 m²","20
                      Yaşında","Zemin","Manisa Müftülük Yakını Eşyalı 1+1  Kiralık Daire","Şehzadeler, Göktaşlı Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/2/4/5/3/4/2/4/1711793095910-42435424.jpg","",""
"https://www.hepsiemlak.com/manisa-sehzadeler-dincer-kiralik/daire/31745-20897","24","15.000","16-04-2024","Kiralık Daire","2 +
                        1","95 m²","25
                      Yaşında","2. Kat","Kw’den Asansörlü Çift Cephe Kiralık 2+1","Şehzadeler, Dinçer Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/7/0/3/3/4/2/4/1711726113-224724-42433072.jpeg","https://www.hepsiemlak.com/emlak-ofisi/kw-alesta-viya-orsa-5-31745","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/5/4/7/1/3/0/6718b45f-7eab-4495-a6ae-e40f674f4b91.jpg"
"https://www.hepsiemlak.com/manisa-sehzadeler-2-anafartalar-kiralik/daire/64671-769","19","16.000","16-04-2024","Kiralık Daire","3 +
                        1","120 m²","50
                      Yaşında","2. Kat","Fiyat Düştü!  Öz Elit Emlak'tan Cumhuriyet Caddesinde Kiralık 3+1 Daire","Şehzadeler, 2. Anafartalar Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/0/8/7/9/2/2/4/9c130bc8-4a54-41e4-8ff4-0bf7bb5cbfcf.jpg","",""
"https://www.hepsiemlak.com/manisa-turgutlu-mustafa-kemal-kiralik/daire/139907-158","12","10.000","15-04-2024","Kiralık Daire","3 +
                        1","120 m²","5
                      Yaşında","1. Kat","Turgutlu Kiralık Daire Mustafa Kemal Mah","Turgutlu, Mustafa Kemal Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/5/8/1/9/4/2/4/1713212706311-42491854.jpg","https://www.hepsiemlak.com/emlak-ofisi/serhat-emlak-gayrimenkul-139907","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/7/0/9/9/3/1/80290991-2571-479b-a805-d58bda762e62.jpg"
"https://www.hepsiemlak.com/manisa-akhisar-resat-bey-kiralik/daire/94137-1060","26","11.000","15-04-2024","Kiralık Daire","2 +
                        1","100 m²","1
                      Yaşında","1. Kat","Akhisar Reşatbey Mahallesi'nde 2+1 Kiralık Daire","Akhisar, Reşat Bey Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/2/2/0/9/4/2/4/1713187520867-42490222.jpg","",""
"https://www.hepsiemlak.com/manisa-yunusemre-guzelyurt-kiralik/daire/17068-1334","17","14.000","15-04-2024","Kiralık Daire","1 +
                        1","89 m²","7
                      Yaşında","8. Kat","Manisa Güzelyurt ,Da 1+1 Eşyasız Daire","Yunusemre, Güzelyurt Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/4/4/7/6/4/2/4/af43edbd-94e3-430c-9198-9efe84f024a5.jpg","",""
"https://www.hepsiemlak.com/manisa-akhisar-ulu-camii-kiralik/daire/94137-1018","24","10.000","15-04-2024","Kiralık Daire","2 +
                        1","100 m²","Sıfır Bina","4. Kat","Akhisar Ulucami Mahallesi'nde 2+1 Kiralık Daire","Akhisar, Ulu Camii Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/1/8/5/1/0/2/4/1704696439076-42015814.jpg","",""
"https://www.hepsiemlak.com/manisa-turgutlu-acarlar-kiralik/daire/107696-1371","15","8.500","15-04-2024","Kiralık Daire","2 +
                        1","80 m²","28
                      Yaşında","En Üst Kat","Eymen Emlaktan Acarlar Mh. Eşyalı Kiralık Daire 🏡","Turgutlu, Acarlar Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/3/1/0/9/4/2/4/1713186794099-42490139.jpg","https://www.hepsiemlak.com/emlak-ofisi/eymen-emlak-107696","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/9/6/7/0/1/350f277f-89df-4cd6-9521-37178f5c4d08.jpg"
"https://www.hepsiemlak.com/manisa-akhisar-haci-ishak-kiralik/daire/124874-210","16","12.000","15-04-2024","Kiralık Daire","2 +
                        1","130 m²","Sıfır Bina","Ara Kat","Kiralık Daire","Akhisar, Hacı İshak Mahallesi","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/8/0/1/9/4/2/4/1713195954271-42491086.jpg","",""
