"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","he-lazy-image src 2"
"https://www.hepsiemlak.com/mugla-koycegiz-gelisim-kiralik/daire/121387-320","10","3.250.000","15-04-2024","Kiralık Daire","2 +
                        1","72 m²","1
                      Yaşında","Bahçe Katı","Ünoglu'dan Satılık  Nefıs Bahceli 1+1","Köyceğiz, Gelişim Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/unoglu-gayrimenkul-ve-emlak-danismanligi-121387","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/7/8/3/1/2/1/9269b935-91d7-4a2b-aac6-8f78a5d53c9b.jpg",""
"https://www.hepsiemlak.com/mugla-ortaca-beskopru-kiralik/daire/82884-1301","25","15.000","06-03-2024","Kiralık Daire","3 +
                        1","155 m²","3
                      Yaşında","En Üst Kat","Ortaca Beskopru Mah .Kiralık 3+1 Geniş Daire","Ortaca, Beşköprü Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/elit-emlak-82884","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/4/8/8/2/8/0/b0b1033e-def7-4834-b768-b78c05536ebb.jpg",""
"https://www.hepsiemlak.com/mugla-bodrum-koyunbaba-kiralik/villa/122999-598","29","40.000","06-04-2024","Kiralık Villa","3 +
                        1","140 m²","3
                      Yaşında","Bahçe Katı","Koyunbaba'da Plajlı Havuzlu Sitede Deniz Manzaralı 3+1 Villa","Bodrum, Koyunbaba Mahallesi","","",""
"https://www.hepsiemlak.com/mugla-milas-meselik-kiralik/loft-daire/5632-8625","4","40.000","12-03-2024","Kiralık Loft Daire","3 +
                        1","142 m²","Sıfır Bina","2. Kat","Luna Bodrum Proesınden Kiralık 3+1 Loft Daire","Milas, Meşelik Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/4/3/8/3/3/2/4/4960083b-4ed3-481d-880b-c0116db0ba6e.jpg",""
"https://www.hepsiemlak.com/mugla-bodrum-eskicesme-kiralik/mustakil-ev/65421-1224","34","45.000","15-04-2024","Kiralık Müstakil Ev","3 +
                        1","200 m²","11
                      Yaşında","","Bodrum Bardakçı Denize 100 Mt Eşyalı Ortak Havuzlu 3+1 Dubleks","Bodrum, Eskiçeşme Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/bodrum-kule-emlak-65421","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/0/8/9/3/9/1/4/ef646682-ac7d-4a2a-bb75-1c138b2b9376.jpeg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/1/2/4/5/6/0/3f934c6d-ed05-4828-92d4-6515f1a8c557.jpg"
"https://www.hepsiemlak.com/mugla-mentese-emirbeyazit-kiralik/daire/0-42168819","7","8.000","07-02-2024","Kiralık Daire","Stüdyo","25 m²","25
                      Yaşında","Ara Kat","Muğla Merkez Çarşı İçinde Kiralık Full Eşyalı Studyo Daire","Menteşe, Emirbeyazıt Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/1/8/8/6/1/2/4/zYVRVCdqsLX6w4uIEnYiB.jpg",""
"https://www.hepsiemlak.com/mugla-fethiye-karaculha-kiralik/villa/140573-688","24","25.000","08-03-2024","Kiralık Villa","2 +
                        1","120 m²","3
                      Yaşında","Bahçe Katı","Çalıca'da Kiralık Villa","Fethiye, Karaçulha Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/baran-emlak-fethiye-140573","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/1/4/8/4/1/2/4/f186cffc-32c6-4701-b04d-d10666ca92c0.jpeg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/3/7/5/0/4/1/cf04bd32-016c-48d1-bdb8-131632c67776.jpg"
"https://www.hepsiemlak.com/mugla-fethiye-akarca-kiralik/daire/135756-6","15","15.000","01-04-2024","Kiralık Daire","1 +
                        1","65 m²","4
                      Yaşında","Giriş Katı","Fethiye Foça'da Full Eşyalı Mustakil Girişli Kiralık 1+1 Daire","Fethiye, Akarca Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/koordinat-emlak-135756","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/1/5/0/9/9/1/4/ace14213-ab97-49fc-bb73-7c872132d60f.jpg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/5/7/5/3/1/da28e2e5-074f-484f-baf3-e258fb29f723.jpg"
"https://www.hepsiemlak.com/mugla-dalaman-merkez-kiralik/daire/126543-418","18","15.000","13-02-2024","Kiralık Daire","3 +
                        1","140 m²","1
                      Yaşında","2. Kat","Aırport Emlak'tan Dalaman Merkez'de Yeni Bina 3+1 Kiralık Daire","Dalaman, Merkez Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/airport-emlak-126543","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/5/8/8/9/1/2/4/ba41eaba-4423-447a-b16f-149a1b9641ae.jpg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/3/4/5/6/2/1/772c81b4-17f9-4666-8bc5-94ffd9806b1b.jpg"
"https://www.hepsiemlak.com/mugla-koycegiz-gulpinar-kiralik/daire/139959-29","9","13.000","24-02-2024","Kiralık Daire","3 +
                        1","135 m²","5
                      Yaşında","1. Kat","Barut Gayrimenkul'den Gülpınar Mah. Kiralık **göl Yakın**","Köyceğiz, Gülpınar Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/barut-gayrimenkul-139959","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/3/5/8/8/5/1/4/1ee7538e-b7d0-4962-9e7b-9c1784a2ace9.jpg","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/9/5/9/9/3/1/96e8de21-f244-46a2-af08-d536aa196de9.jpg"
